@relation mergedData

@attribute District {'The Peak','Wan Chai','Yau Tsim Mong','Sai Kung','Kowloon City','Kwun Tong','Central And Western',Eastern,'Tai Po','Tuen Mun','Sha Tin','Sham Shui Po',Southern,'Tsuen Wan','Kwai Tsing','North Point','Wong Tai Sin',Islands,'Yuen Long','Central & Western','Tung Lung Fort Special Area','Lantau South Country Park','Plover Cove Country Park','Sai Kung East Country Park','Pat Sin Leng Country Park','Ma On Shan Country Park','Sai Kung West Country Park','Plover Cove (extension) Country Park','Tai Lam Country Park','Sai Kung West Country Park (wan Tsai Extension)','Shing Mun Country Park','Lantau North Country Park','Tai Mo Shan Country Park','Tai Tam Country Park','Kam Shan Country Park','Lion Rock Country Park','Aberdeen Country Park','Tai Tam Country Park (quarry Bay Extension)','Clear Warer Bay Country Park','Tseung Kwan O','Discovery Bay',Aberdeen,Airport,'Sai Ying Pun','Ma On Shan','Lamma Island','Cheung Sha Wan','Tsim Sha Tsui','Kwai Chung',Central,'Shau Kei Wan','Sheung Shui','Peng Chau','Kowloon Central','Wah Fu','Mui Wo','Hong Kong East','Cheung Chau','Kowloon East','Sheung Wan','Kowloon Tong','Kowloon Bay',Jordan,Homantin,Mid-Level,'To Kwa Wan','Tai Wai',University,'Lantau Island','Tai Kok Tsui','Tin Shui Wai','Tai Koo Shing','Prince Edward','Siu Sai Wan','Tsim Sha Tsui East','Choi Hung','Tsz Wan Shan','San Po Kong','Mong Kok','Tung Chung','Chai Wan','Lok Fu',Shatin,'Yau Tong',Yaumatei,'Fo Tan','Ngau Tau Kok','Shek Kip Mei','Sau Mau Ping',Fanling,'Hung Hom','Lo Wu','Mei Foo','Lai Chi Kok','Lok Ma Chau','Lam Tin','Sai Wan Ho',Western,'Happy Valley',Admiralty,'Causeway Bay','Diamond Hill','Tsing Yi','Quarry Bay','Ap Lei Chau'}
@attribute Lat numeric
@attribute Lng numeric

@data
'Kwai Tsing',22.358474,114.081351
'Kwai Tsing',22.363129,114.131543
'Sha Tin',22.426024,114.22956
'Sai Kung',22.317011,114.268184
'Tai Po',22.452678,114.161457
Eastern,22.263326,114.239977
Eastern,22.284725,114.222287
'Sai Kung',22.318779,114.257657
'North Point',22.546121,114.222849
'Central And Western',22.281943,114.128639
'Yau Tsim Mong',22.308281,114.17272
Eastern,22.267467,114.249038
'Tuen Mun',22.390791,113.978909
'Kwun Tong',22.3269,114.20696
'Yau Tsim Mong',22.301872,114.170382
'Sham Shui Po',22.330945,114.153445
Islands,22.207508,114.031178
'Yau Tsim Mong',22.309458,114.169261
'Yau Tsim Mong',22.301745,114.177408
'Tuen Mun',22.406605,113.965085
'Wan Chai',22.275331,114.178893
'Kwai Tsing',22.355356,114.098255
'Tai Po',22.45466,114.176371
'Yuen Long',22.456553,114.002412
'Sha Tin',22.377932,114.195236
'Yuen Long',22.44495,114.022703
'Sham Shui Po',22.337965,114.15347
Islands,22.266986,113.996479
'Tuen Mun',22.385428,113.971817
'Yau Tsim Mong',22.325681,114.170585
'Yau Tsim Mong',22.321883,114.162791
'Yau Tsim Mong',22.293459,114.169874
'Central And Western',22.282569,114.162191
'Kowloon City',22.332701,114.197718
'Yau Tsim Mong',22.302025,114.178398
'Kowloon City',22.304905,114.216264
'Wan Chai',22.280334,114.172391
'Kwun Tong',22.314649,114.226064
'Wong Tai Sin',22.346177,114.199426
'Kwun Tong',22.307922,114.228811
'Central And Western',22.281073,114.159806
'Yuen Long',22.442805,114.021125
'Kwai Tsing',22.360818,114.125398
'Yuen Long',22.445637,114.023137
'North Point',22.499183,114.134098
'Wong Tai Sin',22.342732,114.208298
'Wan Chai',22.274419,114.172741
'North Point',22.484754,114.143135
'Kwun Tong',22.295658,114.239017
'Wong Tai Sin',22.33952,114.207948
'Kwun Tong',22.321862,114.216529
'Kwai Tsing',22.361123,114.129524
'Central And Western',22.289085,114.152571
'Central And Western',22.281814,114.129076
'Yuen Long',22.46339,114.004455
'Sha Tin',22.385339,114.191135
'Sham Shui Po',22.333947,114.157451
Islands,22.284889,114.038055
'Wong Tai Sin',22.348206,114.20061
Eastern,22.263727,114.236341
'Central And Western',22.282331,114.161525
'Central And Western',22.277515,114.160059
'Central And Western',22.278085,114.164163
Eastern,22.284592,114.223825
'Kwai Tsing',22.359712,114.127302
'Tuen Mun',22.391252,113.979177
Islands,22.281488,113.934914
Eastern,22.292253,114.199398
'Tuen Mun',22.378691,113.9647
'Sai Kung',22.397867,114.319545
'Sha Tin',22.376209,114.172471
Eastern,22.265384,114.240521
